id,nome,email,idExterno,dataCadastro,dataNasc,ultimaHosp,qtdeHospedag,dataAtualizacao
123,João,joao@joao.com.br,22E,2017-02-01,,2010-10-22,1,2020-03-27 16:00:14.488876
456,Maria,maria@maria.com.br,,2015-02-01,,,,2020-03-27 16:00:14.491654
991,Armando,armando@teste.com.br,73F,2020-03-27,1990-03-01,2017-02-10,0,2020-03-27 16:07:33.860581
992,João,joao@joao.com.br,33W,2020-03-27,1984-01-21,2017-02-10,0,2020-03-27 16:07:33.90183
789,José,jose@jose.com.br,12D,2020-03-27,,2017-02-10,0,2020-03-27 16:07:33.912684
990,Maico,maico@terra.com.br,43F,2020-03-27,1990-11-22,2017-02-10,0,2020-03-27 16:07:33.924036
993,Will,will@will.com.br,20S,2020-03-27,1950-05-11,2017-02-10,0,2020-03-27 16:07:33.934892
994,Carla,jose@jose.com.br,84X,2020-03-27,1991-11-22,2017-02-10,0,2020-03-27 16:07:33.945961
995,Maria,maria@maria.com.br,,2020-03-27,,2017-05-19,1,2020-03-27 16:07:33.967693
996,Gabriel,gabriel@gabriel.com.br,,2020-03-27,,2017-05-18,1,2020-03-27 16:07:34.000926
997,Jonas,xavier@xavier.com.br,,2020-03-27,,2017-05-11,1,2020-03-27 16:07:34.034304
998,Ane,ane@ane.com.br,,2020-03-27,,2017-05-18,1,2020-03-27 16:07:34.067484
